"Hotel Name","Hotel ID"
"Marsa Malaz Kempinski, The Pearl - Doha","41100567"
"Gardino Hotel & Residence","42618232"
"Cinnamon Grand Colombo","3403418"
"Kempinski Central Avenue Dubai","1328970"
"Gardino Hotel & Residence","42618232"
"Grand Millennium Muscat","71482600"
"Shaza Doha","10185780"
"Sofitel Shahd Al Madinah","2891071"
"Makarem Umm Al Qura Hotel","1520441"
"Alazhar Palace Hotel","66243041"
"Tilal Riyadh","39865438"
"Millennium Hilton Bangkok","1408231"
"InterContinental Jeddah, an IHG Hotel","1093472"
"ibis Styles Dubai Airport Hotel","21724521"
"Alazhar Palace Hotel","66243041"
"Tilal Riyadh","39865438"
"Gardino Hotel & Residence","42618232"
"Gardino Hotel & Residence","42618232"
"Tilal Riyadh","39865438"
"Four Seasons Hotel Apartments","68966362"
"Swissôtel Al Murooj Dubai","90001468"
"Corp Amman Hotel","2525063"
"Swissôtel Al Murooj Dubai","90001468"
"abba Sevilla Hotel","23662137"
"Four Seasons Hotel Apartments","68966362"
"Four Seasons Hotel Apartments","68966362"
"Luxury Night Hotel","95997385"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Carawan Al Fahad Hotel","1323006"
"Carawan Al Fahad Hotel","1323006"
"Al Raha Beach Resort & Spa","1708000"
"voco Dubai","2225317"
"voco Dubai","2225317"
"Siam Kempinski Hotel Bangkok","3592460"
"voco Dubai","2225317"
"Siam Kempinski Hotel Bangkok","3592460"
"voco Dubai","2225317"
"Southern Palms Beach Resort","1105781"
"ibis Styles Dubai Airport Hotel","21724521"
"ibis Styles Dubai Airport Hotel","21724521"
"ibis Styles Dubai Airport Hotel","21724521"
"Citymax Hotel Ras Al Khaimah","86061319"
"Carawan Al Fahad Hotel","1323006"
"The WB Abu Dhabi, Curio Collection by Hilton","32489477"
"ibis Styles Dubai Airport Hotel","21724521"
"Kaani Beach Hotel","1855139"
"Kaani Beach Hotel","1855139"
"Swissôtel Al Murooj Dubai","90001468"
"AlaDeniz Hotel","84963636"
"Novotel Panama City","1930146"
